GEOID,UERPCTCHG,PCIPCTCHG,POVPCTCHG
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
17031720300,-3,8.5,-1
17031720400,-1.7,-2,1.3
17031720500,0.1,9.4,0.8
17031720600,-5.4,12.7,-2.3
17031720700,1.7,8.1,-0.2
17031730100,4.1,39.1,-1.5
17031730201,3.8,3.5,-7.7
17031730202,-4.1,0.6,-1.7
17031730300,-14.2,68.6,-20.6
17031730400,-2.9,2.5,0.3
17031730500,5.9,17.1,4.7
17031730600,-1.8,10.9,3.4
17031730700,-2.6,12.7,10.4
17031740100,-1.7,-2.7,-1.1
17031740200,-2.1,-9.1,2.8
17031740300,-2.9,13,0.8
17031740400,-3.6,7.4,2.1
17031750100,-6.8,15,0
17031750200,-3,12.2,5.7
17031750300,-0.2,22.8,0.7
17031750400,-4.4,28.9,0.6
17031750500,-4.9,-6.4,7.6
17031750600,0.8,-9.2,15.5
17031760801,5.1,-14.8,6.8
17031760802,5.3,5.8,1.4
17031760803,1.8,-5.4,5.4
17031770201,4.6,-0.3,5.5
17031770202,2.1,8.1,2.7
17031770300,-0.6,25.3,-2.7
17031770400,-0.7,11,3.8
17031770500,-1.2,-14.8,11.5
17031770601,0.4,-17.4,7.5
17031770602,4.6,27.5,3.5
17031770700,1.8,17.6,1
17031770800,-1,18.9,-7.3
17031770901,-6.6,14.2,3.9
17031770902,1.1,5.7,-0.9
17031800100,-8.2,2,-1.8
17031800200,-1.4,1.7,-0.2
17031800300,-4.1,-3.9,2.1
17031800400,2.1,-8.8,1.7
17031800500,-0.2,10.8,-1.7
17031800600,2.7,-7.4,0.8
17031800700,-2.1,-9.8,-0.1
17031800800,1.9,25.6,4.1
17031800900,0.9,4.8,2.1
17031801000,2,-5.1,0.7
17031801100,-0.4,20.4,-1.1
17031801200,5.2,7.7,3
17031801300,0.8,37.3,-1
17031801400,-1,-9.7,-1.5
17031801500,-1.6,39.3,-1.4
17031801601,3.1,-12.8,0.6
17031801603,-1.1,19.2,3.6
17031801605,-1.4,10.6,1.4
17031801606,-1.9,-2.3,1.4
17031801607,-1.9,-9,4.6
